P,Q,R,Phi,The,Psi,U,V,W,X,Y,Z,RPM1,RPM2,RPM3,RPM4,RPM5,RPM6,THR1,THR2,THR3,THR4,THR5,THR6,Phi_sp,The_sp,Psi_sp,Alt_sp,X_sp,Y_sp,Ax,Ay,Az,M1 Status,M2 Status,M3 Status,M4 Status,M5 Status,M6 Status
0,0,0,0,0,0.785398163397448,0,0,0,0,0,0,5656.74433341914,5403.58223102226,5656.74433341914,5403.58223102226,5656.74433341914,5403.58223102226,58.0827997297123,54.9412070761225,58.0827997297123,54.9412070761225,58.0827997297123,54.9412070761225,-0,0,0,3,0,0,0,0,9.81,0,0,0,0,0,0
4.41289862955736e-24,1.46083514629086e-17,-0.000312348366885474,-4.73700962289586e-25,2.43472524409283e-20,0.785397374884089,1.49344974536244e-21,2.73587746963765e-26,-0.0423522687079204,-8.46327057603809e-24,-8.46324327103498e-24,0,5672.62432749362,5419.61350094777,5672.62432749362,5419.61350094777,5672.62432749362,5419.61350094777,58.2798611075849,55.1401456982499,58.2798611075849,55.1401456982499,58.2798611075849,55.1401456982499,2.82345713251432e-25,-1.5408571339269e-20,0,3,0,0,-7.08198398437562e-19,-2.19070929087284e-24,5.57477312920796,0.625,0.625,0.625,0.625,0.625,0.625
-9.73906468119852e-17,4.38235943542843e-17,-0.00174022954337807,-2.92177747687755e-19,3.65202736656023e-19,0.785388289313632,3.25100845811091e-20,1.72589114342131e-20,-0.0181151515765761,4.68213723793936e-23,4.75765659337555e-23,0,5688.23330206022,5435.91579038117,5688.23330206022,5435.91579038117,5688.23330206022,5435.91579038117,58.4735592929145,55.3424475129203,58.4735592929145,55.3424475129203,58.4735592929145,55.3424475129203,1.78111863505036e-19,-3.20590935236873e-19,0,3,0,0,-1.2748163829116e-18,-2.90467820142259e-18,12.2337117131344,0.859375,0.859375,0.859375,0.859375,0.859375,0.859375
-7.79166107147586e-17,8.27745473319722e-17,-0.0044541242367646,-1.07134753792496e-18,9.98162430466666e-19,0.785358412154744,9.31153530995059e-20,9.2442579706647e-20,0.0402586020368036,1.04543583473808e-22,9.39689107263762e-22,0.000117074133030902,5694.10301444357,5443.10731218823,5694.10301444357,5443.10731218823,5694.10301444357,5443.10731218823,58.5463989680776,55.4316900648792,58.5463989680776,55.4316900648792,58.5463989680776,55.4316900648792,7.81607289483063e-19,-6.36085873549119e-19,0,3,0,0,-3.98647280489108e-19,1.4484655567052e-19,15.647375361338,0.947265625,0.947265625,0.947265625,0.947265625,0.947265625,0.947265625
-7.79201953301392e-17,6.32912450934251e-17,-0.00834150589160765,-2.04539390704518e-18,1.63101559864205e-18,0.785295375243244,1.73130379835547e-19,1.54154791721704e-19,0.118509253464444,4.7369752671436e-24,4.44003174151605e-21,0.000896839601634782,5655.67252418794,5406.57670557815,5655.67252418794,5406.57670557815,5655.67252418794,5406.57670557815,58.06949920813,54.9783667425066,58.06949920813,54.9783667425066,58.06949920813,54.9783667425066,6.67455349515848e-19,-8.5655762209718e-19,0,3,0,0,-4.96876259114111e-19,-4.66127301631243e-18,17.635065142764,0.980224609375,0.980224609375,0.980224609375,0.980224609375,0.980224609375,0.980224609375
-5.8444806955481e-17,8.27660754840456e-17,-0.0132521150647575,-2.82482046982189e-18,2.26364748845306e-18,0.785188210141704,2.6083812311183e-19,2.65872970022643e-19,0.209803765469811,-5.14781782634453e-22,1.258688893966e-20,0.00252909326155596,5601.22128545519,5354.53430919323,5601.22128545519,5354.53430919322,5601.22128545519,5354.53430919322,57.3937913910353,54.3325512408571,57.3937913910353,54.3325512408571,57.3937913910353,54.3325512408571,1.2052262765289e-18,-9.63276615704223e-19,0,3,0,0,3.93255013480652e-18,-4.2811870642635e-18,18.9394512005368,0.992584228515625,0.992584228515625,0.992584228515625,0.992584228515625,0.992584228515625,0.992584228515625
7.78997038539071e-17,6.32876807927522e-17,-0.0190465860068679,-3.02011680776501e-18,2.89604382386835e-18,0.785027402014126,3.30122568797017e-19,5.22124380129808e-19,0.310434024215793,-1.7510741877468e-21,2.76393329235544e-20,0.00512365986088992,5537.07698878038,5293.24349664541,5537.07698878038,5293.24349664541,5537.07698878038,5293.24349664541,56.5977984312069,53.5719683391916,56.5977984312069,53.5719683391916,56.5977984312069,53.5719683391916,2.73624636409297e-18,-8.04339057051305e-19,0,3,0,0,-1.8251512249388e-18,-2.81912111339445e-17,19.8730258745981,0.997219085693359,0.997219085693359,0.997219085693359,0.997219085693359,0.997219085693359,0.997219085693359
9.73783386067063e-17,2.43284167451249e-17,-0.0255995865339051,-2.24178999433965e-18,3.13873859496324e-18,0.784804753051993,5.37374631285066e-19,1.1046432520153e-18,0.418018257821521,-3.26028267334986e-21,5.08958813967074e-20,0.0087611115681901,5465.53855004348,5224.9452276512,5465.53855004348,5224.9452276512,5465.53855004348,5224.9452276512,55.7100485213378,52.7244270283332,55.7100485213378,52.7244270283332,55.7100485213378,52.7244270283332,6.19093509461151e-18,-2.25525193882288e-18,0,3,0,0,1.32181426087593e-19,-4.45975267822694e-18,20.5684233605728,0.99895715713501,0.99895715713501,0.99895715713501,0.99895715713501,0.99895715713501,0.99895715713501
1.36339268979517e-16,1.02229708181709e-16,-0.0327962104377359,-1.07421518328784e-18,3.77106323542621e-18,0.784513261776442,5.75945568024292e-19,1.82177766971308e-18,0.530758065210277,-3.51696083098527e-21,8.22579584106968e-20,0.0135015990271188,5388.21247182371,5151.19270400722,5388.21247182371,5151.19270400722,5388.21247182371,5151.19270400722,54.7504774126837,51.8092016282044,54.7504774126837,51.8092016282044,54.7504774126837,51.8092016282044,7.77373743868128e-18,-5.87811821312511e-19,0,3,0,0,2.11819528597533e-17,-1.12066646260775e-17,21.0839807388756,0.999608933925629,0.999608933925629,0.999608933925629,0.999608933925629,0.999608933925629,0.999608933925629
3.89593225427292e-17,4.37796283292435e-17,-0.0405295946473111,9.29398786218801e-20,4.4035495299212e-18,0.784147033331452,6.03603843763395e-19,2.5578914268231e-18,0.647145321972366,3.53275482381746e-22,1.2094510667231e-19,0.019388926401747,5306.38997140743,5073.22737440186,5306.38997140743,5073.22737440186,5306.38997140743,5073.22737440186,53.735108351626,50.8416977861841,53.735108351626,50.8416977861841,53.735108351626,50.8416977861841,8.20698396220712e-18,-4.97148517308103e-19,0,3,0,0,-1.19975413409769e-17,4.9286308770428e-17,21.4487256762089,0.999853350222111,0.999853350222111,0.999853350222111,0.999853350222111,0.999853350222111,0.999853350222111
