Time (s),Powertrain1 - ESC throttle (μs),Powertrain1 - voltage (V),Powertrain1 - current (A),Powertrain1 - force Fz (thrust) (kgf),Powertrain1 - torque MZ (torque) (N⋅m),Powertrain1 - rotation speed (rpm),Powertrain1 - electrical power (W),Powertrain1 - mechanical power (W),Powertrain1 - motor & ESC efficiency (%),Powertrain1 - propeller efficiency (gf/W),Powertrain1 - powertrain efficiency (gf/W)
0,1000,16.665637969970703,-0.01170599739998579,0.12815278517792272,0.20532964169979095,5.007730336719616e-9,-0.19508790969848633,1.076765690499748e-10,-5.519387169528045e-8,1019.7162129779283,-656.897625911949
0.01,1000,16.665637969970703,-0.011390606872737408,0.12816886751899492,0.2053166925907135,4.889473072923227e-9,-0.18983173370361328,1.0512716391852805e-10,-5.5379129060284527e-8,1019.7162129779283,-675.1709094070425
0.02,1000,16.66563606262207,-0.009707793593406677,0.12816451568369344,0.20528623461723328,4.771215279034392e-9,-0.16178655624389648,1.0256931415320025e-10,-6.339792024689928e-8,1019.7162129779283,-792.1827166260128
0.03,1000,16.665639877319336,-0.010095721110701561,0.1281765500885774,0.2052980363368988,4.652958015238003e-9,-0.1682516485452652,1.0003282924220258e-10,-5.9454291490013134e-8,1019.7162129779283,-761.8145401674632
0.04,1000,16.66563606262207,-0.011263816617429256,0.12818965421833994,0.20530425012111664,4.534700221349167e-9,-0.18771867454051971,9.749338142350794e-11,-5.1935900025057435e-8,1019.7162129779283,-682.8817294510952
0.05,1000,16.66563606262207,-0.010554902255535126,0.12821408770704373,0.20531827211380005,4.416442957552778e-9,-0.17590415477752686,9.495740305176525e-11,-5.398246849530608e-8,1019.7162129779283,-728.8860744597627
0.06,1000,16.665637969970703,-0.011507865972816944,0.12820140903603972,0.2053222954273224,4.298185428710166e-9,-0.19178593158721924,9.241657439318374e-11,-4.8187359658058426e-8,1019.7162129779283,-668.4609628584701
0.07,1000,16.665637969970703,-0.013968948274850845,0.1282094684405226,0.2053169459104538,4.179927899867554e-9,-0.2328014373779297,8.987154770379036e-11,-3.8604378027606856e-8,1019.7162129779283,-550.7245629058401
0.08,1000,16.66563606262207,-0.012098690494894981,0.12821123105537935,0.2053043246269226,4.061670371024941e-9,-0.20163236558437347,8.73235511678061e-11,-4.330830138954411e-8,1019.7162129779283,-635.8662999367428
0.09,1000,16.665637969970703,-0.012424134649336338,0.12820303793528665,0.20529183745384216,3.9434128421823295e-9,-0.20705613493919373,8.477592933209266e-11,-4.094345140703837e-8,1019.7162129779283,-619.1704230228231
0.1,1000,16.66563606262207,-0.014803417958319187,0.12818949619080106,0.20529720187187195,3.8251555783859405e-9,-0.24670837819576263,8.223576680732592e-11,-3.333318898679494e-8,1019.7162129779283,-519.5992643525506
0.11,1000,16.665637969970703,-0.015889976173639297,0.1281894354109784,0.20529544353485107,3.7068977844971044e-9,-0.2648165822029114,7.969269688601344e-11,-3.009354432315092e-8,1019.7162129779283,-484.0687415015766
0.12,1000,16.665637969970703,-0.016137512400746346,0.12819548908131398,0.20530639588832855,3.588640520700716e-9,-0.2689419388771057,7.715446337375198e-11,-2.8688149078526237e-8,1019.7162129779283,-476.66605084641134
0.13,1000,16.665637969970703,-0.016187332570552826,0.12818334527274924,0.20531576871871948,3.4703829918581033e-9,-0.2697722315788269,7.461537637754034e-11,-2.76586559211367e-8,1019.7162129779283,-475.1539461066887
0.14,1000,16.66563606262207,-0.01726052351295948,0.12821450100983772,0.20532336831092834,3.352125463015491e-9,-0.28765758872032166,7.207543589737853e-11,-2.5055982288968437e-8,1019.7162129779283,-445.719153228553
0.15,1000,16.665637969970703,-0.01958688721060753,0.12821063541311742,0.20533046126365662,3.233868199219102e-9,-0.32642796635627747,6.95351345947337e-11,-2.130183113235873e-8,1019.7162129779283,-392.76854972086466
0.16,1000,16.665639877319336,-0.019118696451187134,0.1282068062842907,0.2053290158510208,3.1156104053302665e-9,-0.3186253011226654,6.699187038439192e-11,-2.1025282903597287e-8,1019.7162129779283,-402.3748493139636
0.17,1000,16.665645599365234,-0.01828465797007084,0.12820538403644077,0.20530088245868683,2.997352876487654e-9,-0.30472561717033386,6.444026562357763e-11,-2.1146980000441573e-8,1019.7162129779283,-420.7240103396486
