Time (s),Powertrain1 - ESC throttle (μs),Powertrain1 - voltage (V),Powertrain1 - current (A),Powertrain1 - force Fz (thrust) (kgf),Powertrain1 - torque MZ (torque) (N⋅m),Powertrain1 - rotation speed (rpm),Powertrain1 - electrical power (W),Powertrain1 - mechanical power (W),Powertrain1 - motor & ESC efficiency (%),Powertrain1 - propeller efficiency (gf/W),Powertrain1 - powertrain efficiency (gf/W)
0,0,15.92233657836914,0.008339202962815762,0.12706054745304043,0.20603276789188385,0,0.13277959823608398,0,0,0,956.9282249914401
0.01,0,15.922338485717773,0.0071648526936769485,0.12707284928914403,0.20602986216545105,0,0.11408121138811111,0,0,0,1019.7162129779283
0.02,0,15.92232894897461,0.007223699241876602,0.12707687291340322,0.2060069590806961,0,0.11501811444759369,0,0,0,1019.7162129779283
0.03,0,15.922330856323242,0.009358623996376991,0.12707991190453552,0.206007719039917,0,0.14901110529899597,0,0,0,852.821724579162
0.04,0,15.922331809997559,0.014389825984835625,0.12707892727140865,0.2060130387544632,0,0.22911958396434784,0,0,0,554.6401935761444
0.05,0,15.922331809997559,0.014706839807331562,0.1270723752065274,0.20601069927215576,0,0.2341671884059906,0,0,0,542.656600623918
0.06,0,15.92232894897461,0.014756404794752598,0.127070551811848,0.20600564777851105,0,0.23495632410049438,0,0,0,540.8262527328196
0.07,0,15.922330856323242,0.014054474420845509,0.12707045456413177,0.20599190890789032,0,0.22377999126911163,0,0,0,567.8365141736671
0.08,0,15.922327995300293,0.015726402401924133,0.12705027566301322,0.20598803460597992,0,0.25040093064308167,0,0,0,507.3873823864648
0.09,0,15.922323226928711,0.018069816753268242,0.12704530387352075,0.20599304139614105,0,0.2877134680747986,0,0,0,441.56886381897607
0.1,0,15.922321319580078,0.02089584246277809,0.12706336763681123,0.20598658919334412,0,0.332710325717926,0,0,0,381.9038889916268
0.11,0,15.922322273254395,0.019457431510090828,0.1270627355266557,0.20598186552524567,0,0.30980750918388367,0,0,0,410.13446339963673
0.12,0,15.922316551208496,0.020467355847358704,0.12705107795667214,0.2059844583272934,0,0.3258877098560333,0,0,0,389.8615237394814
0.13,0,15.922319412231445,0.017263678833842278,0.12704514584598187,0.20598943531513214,0,0.2748778164386749,0,0,0,462.18771360577574
0.14,0,15.922309875488281,0.013647754676640034,0.12705198965401185,0.20598921179771423,0,0.2173037827014923,0,0,0,584.6745186248628
0.15,0,15.922304153442383,0.011881722137331963,0.12703139745009928,0.20598149299621582,0,0.18918439745903015,0,0,0,671.4686888500137
0.16,0,15.922304153442383,0.010824596509337425,0.1270321511199001,0.20598095655441284,0,0.17235252261161804,0,0,0,737.0484156502898
0.17,0,15.922294616699219,0.013166957534849644,0.12703961488212107,0.20597684383392334,0,0.20964817702770233,0,0,0,605.9657391217044
0.18,0,15.92229175567627,0.014347017742693424,0.12704761350678132,0.20596745610237122,0,0.2284374088048935,0,0,0,556.1593973991521
0.19,0,15.922290802001953,0.015573244541883469,0.12703043712890147,0.20598767697811127,0,0.24796172976493835,0,0,0,512.2985379278566
0.2,0,15.922290802001953,0.01793067716062069,0.12701832978823036,0.20601601898670197,0,0.2854974567890167,0,0,0,444.9017861736062
0.21,0,15.922285079956055,0.01938597671687603,0.12703691625799557,0.20602470636367798,0,0.3086690604686737,0,0,0,411.5634699658374
0.22,0,15.922286033630371,0.019397346302866936,0.12704666534154802,0.20602276921272278,0,0.30885010957717896,0,0,0,411.3538038896368
0.23,0,15.922287940979004,0.018413394689559937,0.12703808323059038,0.20601965487003326,0,0.2931833863258362,0,0,0,433.3058712421466
0.24,0,15.922286987304688,0.018201548606157303,0.12704318873569267,0.20599766075611115,0,0.28981027007102966,0,0,0,438.3667396426807
0.25,0,15.922285079956055,0.01966083236038685,0.1270683029584101,0.20600643754005432,0,0.3130453824996948,0,0,0,405.9101684780057
0.26,0,15.92228889465332,0.0205510463565588,0.1270705882797416,0.20600388944149017,0,0.327219694852829,0,0,0,388.33417542023915
0.27,0,15.922293663024902,0.020888730883598328,0.12705718025086582,0.2060144692659378,0,0.3325965106487274,0,0,0,382.0159669845865
0.28,0,15.922297477722168,0.02280595526099205,0.12703117864273777,0.2060312032699585,0,0.36312320828437805,0,0,0,349.8294041040352
0.29,0,15.922295570373535,0.024436209350824356,0.12702713070654953,0.20603829622268677,0,0.38908055424690247,0,0,0,326.48027606010754
0.3,0,15.92228889465332,0.02740520052611828,0.1270323213034035,0.206046000123024,0,0.43635353446006775,0,0,0,291.1224651531652
0.31,0,15.922286033630371,0.028271909803152084,0.1270285772663285,0.20605139434337616,0,0.4501534402370453,0,0,0,282.1895087472706
