Time (s),Powertrain1 - ESC throttle (μs),Powertrain1 - voltage (V),Powertrain1 - current (A),Powertrain1 - force Fz (thrust) (kgf),Powertrain1 - torque MZ (torque) (N⋅m),Powertrain1 - rotation speed (rpm),Powertrain1 - electrical power (W),Powertrain1 - mechanical power (W),Powertrain1 - motor & ESC efficiency (%),Powertrain1 - propeller efficiency (gf/W),Powertrain1 - powertrain efficiency (gf/W)
0,1000,16.73733901977539,-0.0213948842138052,0.12762265140883755,0.20561175048351288,0,-0.3580934405326843,0,0,0,-356.3948405462837
0.01,1000,16.737329483032227,-0.0198916457593441,0.1276666438444689,0.20561635494232178,0,-0.3329330384731293,0,0,0,-383.46041162573925
0.02,1000,16.73732566833496,-0.019805828109383583,0.12766062664202693,0.20562326908111572,0,-0.33149659633636475,0,0,0,-385.103873718165
0.03,1000,16.737321853637695,-0.021676499396562576,0.12766438283506645,0.20562578737735748,0,-0.3628065586090088,0,0,0,-351.8800423843327
0.04,1000,16.737316131591797,-0.023331236094236374,0.1276723814597267,0.2056170403957367,0,-0.39050227403640747,0,0,0,-326.9440261068985
0.05,1000,16.737314224243164,-0.023006897419691086,0.12768030714859976,0.2056209146976471,0,-0.3850736618041992,0,0,0,-331.5737224455801
0.06,1000,16.73731803894043,-0.023061752319335938,0.12768374728656157,0.20561428368091583,0,-0.3859918713569641,0,0,0,-330.79386869717047
0.07,1000,16.737306594848633,-0.025462999939918518,0.12768518169037602,0.20562691986560822,0,-0.4261820316314697,0,0,0,-299.60244169684177
0.08,1000,16.737289428710938,-0.02551575005054474,0.1276813160936557,0.20563532412052155,0,-0.4270645081996918,0,0,0,-298.97431869768633
0.09,1000,16.737287521362305,-0.026782870292663574,0.1277206284829433,0.20564772188663483,0,-0.44827258586883545,0,0,0,-284.9173314995636
0.1,1000,16.737289428710938,-0.026430070400238037,0.12771648329903884,0.2056339979171753,0,-0.4423677325248718,0,0,0,-288.71111078142667
0.11,1000,16.737293243408203,-0.026917479932308197,0.12773227389696232,0.20563431084156036,0,-0.45052576065063477,0,0,0,-283.51825291803397
0.12,1000,16.737295150756836,-0.029402893036603928,0.12773479018161987,0.20564353466033936,0,-0.49212488532066345,0,0,0,-259.55767985828504
0.13,1000,16.737293243408203,-0.031028036028146744,0.12770673421548637,0.20566627383232117,0,-0.519325315952301,0,0,0,-245.90893857291277
0.14,1000,16.73729133605957,-0.030314577743411064,0.12770326976559554,0.20568051934242249,0,-0.5073839426040649,0,0,0,-251.68961025708194
0.15,1000,16.73729133605957,-0.03363080322742462,0.12767600393715642,0.20567724108695984,0,-0.5628885626792908,0,0,0,-226.82288297746453
0.16,1000,16.73729133605957,-0.03204570338129997,0.12765938673364494,0.20567087829113007,0,-0.5363582968711853,0,0,0,-238.01140291369072
0.17,1000,16.737295150756836,-0.03012092411518097,0.12767608902890812,0.20566488802433014,0,-0.5041428208351135,0,0,0,-253.25381546077693
0.18,1000,16.737302780151367,-0.026928532868623734,0.1276822277909954,0.2056674063205719,0,-0.4507110118865967,0,0,0,-283.2906689501173
0.19,1000,16.737306594848633,-0.026255102828145027,0.12766637641324927,0.20566101372241974,0,-0.43943971395492554,0,0,0,-290.5207935328254
0.2,1000,16.7373104095459,-0.024675756692886353,0.1276400465940789,0.20566284656524658,0,-0.4130057990550995,0,0,0,-309.0514674208612
0.21,1000,16.737314224243164,-0.022199565544724464,0.12763451563021808,0.20566308498382568,0,-0.37156111001968384,0,0,0,-343.50881309933476
0.22,1000,16.73731803894043,-0.019061299040913582,0.1276348073733668,0.2056654989719391,0,-0.31903502345085144,0,0,0,-400.0651917414768
0.23,1000,16.737308502197266,-0.01705336570739746,0.12763101471243365,0.20565298199653625,0,-0.285427451133728,0,0,0,-447.15744695165404
0.24,1000,16.737308502197266,-0.014637266285717487,0.1276486043931075,0.20565420389175415,0,-0.24498844146728516,0,0,0,-521.0393085345438
0.25,1000,16.7373104095459,-0.012460167519748211,0.12766812687214146,0.205667644739151,0,-0.20854969322681427,0,0,0,-612.1712617661709
0.26,1000,16.737306594848633,-0.012729416601359844,0.1276579523298305,0.20567135512828827,0,-0.21305614709854126,0,0,0,-599.1751742163741
0.27,1000,16.7373104095459,-0.009231841191649437,0.12764246563102022,0.20565210282802582,0,-0.15451619029045105,0,0,0,-826.0782136239444
0.28,1000,16.737314224243164,-0.009685403667390347,0.12760997273783353,0.20564743876457214,0,-0.1621076464653015,0,0,0,-787.1927904344715
0.29,1000,16.737319946289062,-0.011809178628027439,0.12760051539742978,0.2056560516357422,0,-0.19765399396419525,0,0,0,-645.5751715585395
0.3,1000,16.737327575683594,-0.011102314107120037,0.12760718902195634,0.2056664675474167,0,-0.18582306802272797,0,0,0,-686.7133867184314
0.31,1000,16.737329483032227,-0.012372147291898727,0.12759147135982002,0.20565174520015717,0,-0.20707669854164124,0,0,0,-616.1555979479945
0.32,1000,16.737329483032227,-0.010803457349538803,0.12763774911678286,0.20564882457256317,0,-0.180821031332016,0,0,0,-705.8788693861138
