Time (s),Powertrain1 - ESC throttle (μs),Powertrain1 - voltage (V),Powertrain1 - current (A),Powertrain1 - force Fz (thrust) (kgf),Powertrain1 - torque MZ (torque) (N⋅m),Powertrain1 - rotation speed (rpm),Powertrain1 - electrical power (W),Powertrain1 - mechanical power (W),Powertrain1 - motor & ESC efficiency (%),Powertrain1 - propeller efficiency (gf/W),Powertrain1 - powertrain efficiency (gf/W)
0,1000,15.632461547851562,0.0117297088727355,0.1277062479769052,0.20425397157669067,0,0.18336422741413116,0,0,0,696.4621785277421
0.01,1000,15.63247013092041,0.01152432058006525,0.12769632870984932,0.20426702499389648,0,0.18015359342098236,0,0,0,708.8192027103072
0.02,1000,15.632477760314941,0.01076612900942564,0.12769670554474974,0.204289048910141,0,0.1683012694120407,0,0,0,758.738838022272
0.03,1000,15.632479667663574,0.011306450702250004,0.12771757733584646,0.2043077051639557,0,0.1767478585243225,0,0,0,722.5975995133485
0.04,1000,15.632486343383789,0.012058687396347523,0.1277243725200183,0.2043106108903885,0,0.18850725889205933,0,0,0,677.5567848771277
0.05,1000,15.632485389709473,0.010253671556711197,0.12770582251814666,0.20431120693683624,0,0.16029037535190582,0,0,0,796.7154813035382
0.06,1000,15.632485389709473,0.01151810772716999,0.1277124475188151,0.20430029928684235,0,0.1800566464662552,0,0,0,709.2903678954609
0.07,1000,15.632488250732422,0.011240089312195778,0.12770711105038676,0.2042955458164215,0,0.1757105588912964,0,0,0,726.8038549836181
0.08,1000,15.632495880126953,0.012446926906704903,0.12771299453721893,0.20429007709026337,0,0.19457653164863586,0,0,0,656.3638331975405
0.09,1000,15.63249683380127,0.015466268174350262,0.1277014706828452,0.2042728066444397,0,0.24177639186382294,0,0,0,528.1800624660327
0.1,1000,15.632495880126953,0.01666174829006195,0.12771472068418208,0.2042689323425293,0,0.26046469807624817,0,0,0,490.334071491527
0.11,1000,15.632498741149902,0.018839575350284576,0.1277336718328832,0.20427529513835907,0,0.2945096492767334,0,0,0,433.7164024762285
0.12,1000,15.632499694824219,0.019178610295057297,0.12773790210853936,0.2042696624994278,0,0.29980960488319397,0,0,0,426.06339619947687
0.13,1000,15.63249397277832,0.021112404763698578,0.12773880164991452,0.20427176356315613,0,0.33003953099250793,0,0,0,387.0409023539721
0.14,1000,15.632492065429688,0.026870300993323326,0.12775431266065385,0.2042744755744934,0,0.4200497567653656,0,0,0,304.14089536576677
0.15,1000,15.632488250732422,0.02883242815732956,0.12774034545740975,0.20428600907325745,0,0.4507226049900055,0,0,0,283.4123258431261
0.16,1000,15.632488250732422,0.030789440497756004,0.12773352596130882,0.20428822934627533,0,0.481315553188324,0,0,0,265.3841552168005
0.17,1000,15.632494926452637,0.030257320031523705,0.12771121976639765,0.20429366827011108,0,0.47299739718437195,0,0,0,270.00405384807146
0.18,1000,15.6325044631958,0.03084878996014595,0.1277029293985887,0.20428095757961273,0,0.4822438359260559,0,0,0,264.80988314050956
