time,P,Q,R,Phi,Theta,Psi,U,V,W,X,Y,Z,RPM1,RPM2,RPM3,RPM4,RPM5,RPM6,THR1,THR2,THR3,TJR4,THR5,THR6,Phi_cmd,Theta_cmd,Psi_cmd,Alt_cmd,X_cmd,Y_cmd,Ax,Ay,Az,Fault_M1,Fault_M2,Fault_M3,Fault_M4,Fault_M5,Fault_M6
0,0.0011274107,0.0011274107,0.0011274107,0,0,0,0,0,0,0,0,0,5530.4268,5530.1179,5530.0997,5529.8998,5530.2087,5530.2269,56.515273,56.51144,56.511214,56.508734,56.512567,56.512793,0,0,0,3,0,0,0.0011274107,0.0011274107,9.8111274,0,0,0,0,0,0
0.01,0.0075433274,0.0075449385,0.0075470835,-9.9994316e-09,-7.2650305e-09,-5.093471e-10,-4.4657446e-10,6.1479808e-10,-0.04235268,1.4515191e-12,-1.6760699e-12,0,5547.7786,5545.7116,5545.6936,5544.4592,5546.5263,5546.5443,56.730599,56.704948,56.704725,56.689408,56.715059,56.715282,6.3438539e-09,0.00064000461,0,3,0.002,0,0.0075474112,0.007547081,5.5822793,0.625,0.625,0.625,0.625,0.625,0.625
0.02,-0.002771472,-0.0027502361,-0.002714491,-2.4522952e-07,-1.5580927e-07,-1.2496946e-08,-1.0164413e-08,1.5927954e-08,-0.0181192,-1.1114413e-11,1.9102543e-11,0,5561.2237,5561.9786,5562.2332,5562.9254,5562.1705,5561.9159,56.897445,56.906812,56.909973,56.918562,56.909194,56.906034,1.5821862e-07,0.0012801004,0,3,0.004,0,-0.0027101697,-0.0027133918,12.230637,0.859375,0.859375,0.859375,0.859375,0.859375,0.859375
0.03,0.003917397,0.0039880532,0.00405703,-1.3135847e-06,-7.8819617e-07,-6.7043663e-08,-4.6438563e-08,7.2207855e-08,0.040244466,-3.4318034e-10,5.421018e-10,0.00011699645,5569.2269,5568.1429,5568.3964,5567.996,5569.0799,5568.8265,56.996759,56.983308,56.986454,56.981485,56.994936,56.991791,5.8595027e-07,0.0019203777,0,3,0.006,0,0.0040655812,0.0040632192,15.650431,0.94726563,0.94726563,0.94726563,0.94726563,0.94726563,0.94726563
0.04,0.00038008374,0.00053948415,0.0006080682,-3.2055376e-06,-1.5731659e-06,-1.6406659e-07,-1.0061831e-07,1.3289686e-07,0.1184769,-2.0347618e-09,3.4205543e-09,0.0008965367,5530.8381,5530.7169,5531.1312,5531.4475,5531.5687,5531.1544,56.520378,56.518873,56.524014,56.52794,56.529444,56.524303,6.5009159e-07,0.0025605746,0,3,0.008,0,0.00062085017,0.00062352247,17.633864,0.98022461,0.98022461,0.98022461,0.98022461,0.98022461,0.98022461
0.05,-0.0015837979,-0.0012834506,-0.0012451059,-6.1980566e-06,-2.3110995e-06,-3.1844668e-07,-1.746924e-07,8.7507482e-08,0.20974455,-6.6278388e-09,1.2404678e-08,0.0025283398,5477.0626,5477.4711,5478.0182,5478.766,5478.3575,5477.8104,55.853055,55.858125,55.864914,55.874194,55.869124,55.862335,-4.229409e-07,0.0032007988,0,3,0.01,0,-0.0012232726,-0.0012170414,18.935538,0.99258423,0.99258423,0.99258423,0.99258423,0.99258423,0.99258423
0.06,-0.0033602625,-0.0028644414,-0.0029322918,-1.027351e-05,-2.4524351e-06,-5.304595e-07,-3.8851706e-07,-1.7726071e-07,0.31033948,-1.562578e-08,3.3665273e-08,0.0051221444,5413.8709,5414.7596,5415.4302,5416.5733,5415.6847,5415.0141,55.068884,55.079912,55.088233,55.102419,55.091391,55.08307,-2.6956694e-06,0.0038422676,0,3,0.012,0,-0.0028922718,-0.0028957899,19.866585,0.99721909,0.99721909,0.99721909,0.99721909,0.99721909,0.99721909
0.07,-5.9106986e-05,0.00068960398,0.00040950298,-1.5058843e-05,-1.0637855e-06,-7.8264534e-07,-1.1018853e-06,-6.8227504e-07,0.41788055,-2.9323712e-08,7.5886797e-08,0.008758441,5344.6745,5344.6562,5345.3598,5345.9975,5346.0158,5345.3122,54.210197,54.20997,54.218701,54.226614,54.226842,54.21811,-5.2476938e-06,0.0044874957,0,3,0.014,0,0.00048096426,0.00044439702,20.564542,0.99895716,0.99895716,0.99895716,0.99895716,0.99895716,0.99895716
0.08,0.0013192979,0.0023858249,0.0017974054,-2.0063759e-05,2.9486043e-06,-1.0517449e-06,-2.9648694e-06,-1.33315e-06,0.53057026,-4.4757172e-08,1.4956037e-07,0.013497306,5269.4177,5269.022,5269.7821,5270.2527,5270.6483,5269.8882,53.276304,53.271394,53.280827,53.286666,53.291575,53.282143,-6.8928832e-06,0.0051395929,0,3,0.016,0,0.0019072897,0.0018312571,21.080796,0.99960893,0.99960893,0.99960893,0.99960893,0.99960893,0.99960893
0.09,0.00027203159,0.001730225,0.00076795066,-2.5201196e-05,1.0371259e-05,-1.3350028e-06,-6.7464563e-06,-2.1398415e-06,0.64690159,-5.3279368e-08,2.6596906e-07,0.01938248,5189.2509,5189.1419,5189.9925,5190.7195,5190.8285,5189.9779,52.281482,52.280129,52.290685,52.299706,52.301059,52.290503,-8.6742442e-06,0.0057999918,0,3,0.018,0,0.00092089639,0.00080914136,21.44393,0.99985335,0.99985335,0.99985335,0.99985335,0.99985335,0.99985335
