Time (s),Powertrain1 - ESC throttle (μs),Powertrain1 - voltage (V),Powertrain1 - current (A),Powertrain1 - force Fz (thrust) (kgf),Powertrain1 - torque MZ (torque) (N⋅m),Powertrain1 - rotation speed (rpm),Powertrain1 - electrical power (W),Powertrain1 - mechanical power (W),Powertrain1 - motor & ESC efficiency (%),Powertrain1 - propeller efficiency (gf/W),Powertrain1 - powertrain efficiency (gf/W)
0,1000,16.66898536682129,0.030766643583774567,0.12802184112801362,0.20517206192016602,0,0.5128487348556519,0,0,0,249.6288582142961
0.01,1000,16.66899299621582,0.030890827998518944,0.12801238378760987,0.20517520606517792,0,0.5149189829826355,0,0,0,248.60683334053476
0.02,1000,16.66899299621582,0.030302872881293297,0.12802936567005724,0.20517200231552124,0,0.5051183700561523,0,0,0,253.4640893352039
0.03,1000,16.66899299621582,0.029703283682465553,0.12800592897044483,0.20517656207084656,0,0.49512383341789246,0,0,0,258.53315085583074
0.04,1000,16.668989181518555,0.031101973727345467,0.1280048835574953,0.20516112446784973,0,0.518438458442688,0,0,0,246.90468225136186
0.05,1000,16.668987274169922,0.0285488273948431,0.12800262254809286,0.205153688788414,0,0.4758800268173218,0,0,0,268.9808620017153
0.06,1000,16.668994903564453,0.026141729205846786,0.1280078253009114,0.20515751838684082,0,0.4357563555240631,0,0,0,293.76009064865116
0.07,1000,16.668991088867188,0.026367906481027603,0.1280013097039237,0.20514839887619019,0,0.43952640891075134,0,0,0,291.2255234204442
0.08,1000,16.66899299621582,0.02685179002583027,0.1280095271359455,0.20513848960399628,0,0.44759228825569153,0,0,0,285.99583298452785
0.09,1000,16.66899299621582,0.025266030803322792,0.12800200259390188,0.20512621104717255,0,0.4211592972278595,0,0,0,303.9277526837109
0.1,1000,16.66899299621582,0.02246898226439953,0.12798035282107528,0.20511940121650696,0,0.37453532218933105,0,0,0,341.70435741268363
0.11,1000,16.668991088867188,0.022506576031446457,0.12797992736231675,0.20510901510715485,0,0.37516191601753235,0,0,0,341.13251652929864
0.12,1000,16.668994903564453,0.0218033604323864,0.12796179066323912,0.20512183010578156,0,0.3634400963783264,0,0,0,352.08496763436676
0.13,1000,16.66899299621582,0.018067659810185432,0.12792628309084916,0.2051122486591339,0,0.3011696934700012,0,0,0,424.764798820746
0.14,1000,16.668994903564453,0.020263181999325752,0.1279126684105764,0.2051248550415039,0,0.3377668857574463,0,0,0,378.7010354574597
0.15,1000,16.668991088867188,0.02059919945895672,0.12788263102222464,0.20512333512306213,0,0.34336787462234497,0,0,0,372.4362160180195
0.16,1000,16.668991088867188,0.02278085984289646,0.12789123744511136,0.2051173448562622,0,0.37973394989967346,0,0,0,336.7916945316902
0.17,1000,16.66899299621582,0.023067062720656395,0.1278693202410651,0.20512166619300842,0,0.3845047056674957,0,0,0,332.55592437954357
0.18,1000,16.668994903564453,0.024221688508987427,0.12786040991906517,0.20512226223945618,0,0.4037511944770813,0,0,0,316.68118286957474
0.19,1000,16.668991088867188,0.02603711187839508,0.12785852574456313,0.20511938631534576,0,0.43401238322257996,0,0,0,294.59649394405085
0.2,1000,16.66898536682129,0.029374519363045692,0.12787710005836384,0.20511670410633087,0,0.4896434247493744,0,0,0,261.1637258918897
0.21,1000,16.668989181518555,0.0312742181122303,0.12787009822279496,0.2051248401403427,0,0.5213096141815186,0,0,0,245.28628575779547
