Time (s),Powertrain1 - ESC throttle (μs),Powertrain1 - voltage (V),Powertrain1 - current (A),Powertrain1 - force Fz (thrust) (kgf),Powertrain1 - torque MZ (torque) (N⋅m),Powertrain1 - rotation speed (rpm),Powertrain1 - electrical power (W),Powertrain1 - mechanical power (W),Powertrain1 - motor & ESC efficiency (%),Powertrain1 - propeller efficiency (gf/W),Powertrain1 - powertrain efficiency (gf/W)
0,1000,16.653291702270508,-0.011433153413236141,0.12824616729743643,0.20565377175807953,1.140150406319863e-14,-0.190399631857872,2.455429400082009e-16,-1.289618779502105e-13,1019.7162129779283,-673.5631129145456
0.01,1000,16.653295516967773,-0.010820918716490269,0.12823455835131098,0.2056543081998825,1.1210467233476186e-14,-0.18020395934581757,2.414294039091992e-16,-1.3397563537159815e-13,1019.7162129779283,-711.6078782210336
0.02,1000,16.653305053710938,-0.009514781646430492,0.12825071362817037,0.20563694834709167,1.1019431414824847e-14,-0.15845255553722382,2.3729519491232857e-16,-1.4975788147010734e-13,1019.7162129779283,-809.3950275369933
0.03,1000,16.653310775756836,-0.008372117765247822,0.12825979413367372,0.20563435554504395,1.0828394585102403e-14,-0.13942347466945648,2.3317842950021546e-16,-1.6724473902331844e-13,1019.7162129779283,-919.9296506161975
0.04,1000,16.6533145904541,-0.007439347915351391,0.1282631978037419,0.20565223693847656,1.0637358766451063e-14,-0.12388980388641357,2.290845869172374e-16,-1.8490996053939762e-13,1019.7162129779283,-1019.7162129779283
0.05,1000,16.653316497802734,-0.011023656465113163,0.12825597716081152,0.20563925802707672,1.044632193672862e-14,-0.1835804432630539,2.2495625421143836e-16,-1.225382447760299e-13,1019.7162129779283,-698.6363943434441
0.06,1000,16.653324127197266,-0.01135663315653801,0.12825747234444862,0.20563040673732758,1.0255286118077278e-14,-0.1891256868839264,2.2083288458931463e-16,-1.1676514349325245e-13,1019.7162129779283,-678.1599638370691
0.07,1000,16.65333366394043,-0.013678252696990967,0.12824846477473245,0.2056145966053009,1.0064249288354834e-14,-0.227788507938385,2.1670251371048625e-16,-9.513320315771034e-14,1019.7162129779283,-563.0155072652242
0.08,1000,16.65333366394043,-0.017139241099357605,0.12826829115287966,0.2056175023317337,9.873213469703494e-15,-0.2854255139827728,2.1259215398503674e-16,-7.448253460969458e-14,1019.7162129779283,-449.39322057173206
0.09,1000,16.653337478637695,-0.017987672239542007,0.12826438908826576,0.2056075632572174,9.68217663998105e-15,-0.2995547652244568,2.084686255442354e-16,-6.959282516343231e-14,1019.7162129779283,-428.1834450372364
0.1,1000,16.653339385986328,-0.01812553219497204,0.1282767030803339,0.20559677481651306,9.49114082132971e-15,-0.30185064673423767,2.0434467358696043e-16,-6.769727660055152e-14,1019.7162129779283,-424.9674630613777
0.11,1000,16.653335571289062,-0.02074391581118107,0.12830266822056838,0.20560838282108307,9.300103991607267e-15,-0.3454553782939911,2.0024295624455088e-16,-5.796492627011473e-14,1019.7162129779283,-371.4015732530768
0.12,1000,16.65333366394043,-0.021890467032790184,0.12829525308220555,0.20561866462230682,9.109067161884823e-15,-0.3645492494106293,1.9613949189668762e-16,-5.380328928762082e-14,1019.7162129779283,-351.9284474350881
0.13,1000,16.653339385986328,-0.022400816902518272,0.12831155423063925,0.2056104987859726,8.918031343233482e-15,-0.3730483949184418,1.9201842514538923e-16,-5.147279460028086e-14,1019.7162129779283,-343.95418332775745
0.14,1000,16.653331756591797,-0.02222621440887451,0.12832121822244003,0.20561714470386505,8.726994513511038e-15,-0.37014052271842957,1.8791118885393273e-16,-5.076752849861733e-14,1019.7162129779283,-346.68244369477355
0.15,1000,16.65332794189453,-0.020295314490795135,0.12834966317943847,0.2056260108947754,8.535958694859698e-15,-0.33798453211784363,1.8380569956792994e-16,-5.438287158177958e-14,1019.7162129779283,-379.75011950826314
0.16,1000,16.653331756591797,-0.02248113974928856,0.12837660079683527,0.20562279224395752,8.344922370672806e-15,-0.37438589334487915,1.7968927826295166e-16,-4.799574023366972e-14,1019.7162129779283,-342.8991428543347
0.17,1000,16.653335571289062,-0.026572132483124733,0.1283860824491681,0.20564527809619904,8.153886046485915e-15,-0.4425146281719208,1.7559494598905098e-16,-3.968116159128106e-14,1019.7162129779283,-290.12844762167924
0.18,1000,16.653337478637695,-0.02950071543455124,0.12838413749484343,0.20565277338027954,7.962849722299023e-15,-0.49128538370132446,1.7148719353689225e-16,-3.490582012174385e-14,1019.7162129779283,-261.3229447152939
0.19,1000,16.65334701538086,-0.03238716349005699,0.12836333863953386,0.2056250125169754,7.77181339811213e-15,-0.539354681968689,1.6735046991095946e-16,-3.102790741284461e-14,1019.7162129779283,-237.99428731563356
0.2,1000,16.653348922729492,-0.03395013511180878,0.12838069735688165,0.2056196630001068,7.580776568389686e-15,-0.5653834342956543,1.6323261923788268e-16,-2.887113653600855e-14,1019.7162129779283,-227.06838483709728
0.21,1000,16.653362274169922,-0.037169765681028366,0.12835059918870723,0.20561997592449188,7.389740749738346e-15,-0.619001567363739,1.591194007762362e-16,-2.570581676376659e-14,1019.7162129779283,-207.35099706785783
