Time (s),Powertrain1 - ESC throttle (μs),Powertrain1 - voltage (V),Powertrain1 - current (A),Powertrain1 - force Fz (thrust) (kgf),Powertrain1 - torque MZ (torque) (N⋅m),Powertrain1 - rotation speed (rpm),Powertrain1 - electrical power (W),Powertrain1 - mechanical power (W),Powertrain1 - motor & ESC efficiency (%),Powertrain1 - propeller efficiency (gf/W),Powertrain1 - powertrain efficiency (gf/W)
5.970453,0,15.92227364,0.04326085,0.126934551,0.206077069,0,0.688811064,0,0,0,184.2806539
10.970453,0,15.92222786,0.029393239,0.127171167,0.206067383,0,0.468005836,0,0,0,271.7298848
15.970453,1060,15.92090511,0.039808288,0.130979995,0.207280576,0,0.633783996,0,0,0,206.6634557
20.970453,1120,15.91819954,0.142854944,0.143589328,0.210124925,1550.618032,2.273993492,34.12015533,200,4.208343257,63.14412736
25.970453,1180,15.91308975,0.288206846,0.163426051,0.215116993,2281.43953,4.586261272,51.39398575,200,3.179867175,35.63383032
30.970453,1240,15.904809,0.509723246,0.193014824,0.221115008,2964.071294,8.107050896,68.63339233,200,2.812258272,23.80826642
35.970453,1300,15.89273262,0.795253098,0.22826176,0.228517085,3602.165853,12.63874531,86.20074463,200,2.648025303,18.06047662
40.970453,1360,15.87654972,1.225432992,0.266905255,0.236872211,4196.745951,19.45564842,104.10112,200,2.563903749,13.71865176
45.970453,1420,15.85454369,1.756988049,0.31250787,0.246319756,4797.632699,27.85624313,123.7527466,200,2.525260128,11.21859379
50.970453,1480,15.8262682,2.417332888,0.368398029,0.256479532,5385.044413,38.25735855,144.634079,200,2.547103826,9.629468861
55.970453,1540,15.79225636,3.181435108,0.417599004,0.267090559,5935.457265,50.24203873,166.0127106,200,2.51546413,8.311744832
60.970453,1600,15.75129509,4.088575363,0.472175394,0.278077632,6464.552642,64.40036011,188.2492065,200,2.508246336,7.331875324
65.970453,1660,15.70442963,5.086118221,0.532029127,0.289302588,6950.403996,79.87458801,210.5673218,200,2.526646288,6.660806062
70.970453,1720,15.65201187,6.156430244,0.580531912,0.299833953,7404.532965,96.36051941,232.4915161,200,2.497002639,6.024582632
75.970453,1780,15.59272671,7.381029129,0.639098474,0.310830712,7843.689868,115.0903702,255.3130188,200,2.503195723,5.553014401
80.970453,1840,15.53001976,8.626425743,0.692677492,0.321281642,8233.672323,133.9685669,277.0180664,200,2.500477725,5.170447963
85.970453,1900,15.46052742,10.01033783,0.755107462,0.332632661,8622.322399,154.7651062,300.3431702,194.0638781,2.514149007,4.879055058
90.970453,1960,15.42123318,10.35277843,0.767607052,0.334749371,8712.520821,159.6526031,305.4162903,191.3005352,2.513314044,4.807983312
95.970453,2000,15.39589119,10.31221962,0.771653189,0.334466726,8696.280489,158.7658081,304.5895996,191.8483615,2.533419439,4.860323476
