Time (s),Powertrain1 - ESC throttle (μs),Powertrain1 - voltage (V),Powertrain1 - current (A),Powertrain1 - force Fz (thrust) (kgf),Powertrain1 - torque MZ (torque) (N⋅m),Powertrain1 - rotation speed (rpm),Powertrain1 - electrical power (W),Powertrain1 - mechanical power (W),Powertrain1 - motor & ESC efficiency (%),Powertrain1 - propeller efficiency (gf/W),Powertrain1 - powertrain efficiency (gf/W)
0,1000,15.73384952545166,0.027371563017368317,0.12771961953788738,0.20454221963882446,0,0.43066003918647766,0,0,0,296.56714597774584
0.01,1000,15.733853340148926,0.02453332580626011,0.12772587985961995,0.20453476905822754,0,0.3860037624835968,0,0,0,330.8928425603676
0.02,1000,15.733859062194824,0.024015605449676514,0.12772488307052854,0.2045358270406723,0,0.37785816192626953,0,0,0,338.023361169723
0.03,1000,15.733854293823242,0.021893179044127464,0.12769654751721085,0.2045237123966217,0,0.34446409344673157,0,0,0,370.7107741008085
0.04,1000,15.733853340148926,0.018354084342718124,0.12769158788368293,0.2045409232378006,0,0.28878048062324524,0,0,0,442.17525195355324
0.05,1000,15.733854293823242,0.016911139711737633,0.12769578169144552,0.20454096794128418,0,0.2660773992538452,0,0,0,479.9196676884526
0.06,1000,15.733851432800293,0.016429457813501358,0.12767527457928465,0.20455357432365417,0,0.2584986388683319,0,0,0,493.91084249461386
0.07,1000,15.733855247497559,0.011682200245559216,0.12765606815532846,0.2045566290616989,0,0.18380604684352875,0,0,0,694.5150847533048
0.08,1000,15.733857154846191,0.010312400758266449,0.12766212182566403,0.2045566886663437,0,0.16225384175777435,0,0,0,786.8049179182722
0.09,1000,15.733854293823242,0.008023863658308983,0.12765964200890004,0.2045460343360901,0,0.12624630331993103,0,0,0,1011.1950763383558
0.1,1000,15.733854293823242,0.007156821433454752,0.12764172411718394,0.2045372873544693,0,0.11260438710451126,0,0,0,1019.7162129779283
0.11,1000,15.733854293823242,0.0056784930638968945,0.12767407113879628,0.20455487072467804,0,0.0893445834517479,0,0,0,1019.7162129779283
0.12,1000,15.733851432800293,0.0051482911221683025,0.1277019690773909,0.20456628501415253,0,0.08100244402885437,0,0,0,1019.7162129779283
0.13,1000,15.733855247497559,0.006481241900473833,0.1276916608194701,0.2045692801475525,0,0.10197491943836212,0,0,0,1019.7162129779283
0.14,1000,15.73386001586914,0.0077620819211006165,0.12767281907444974,0.2045626938343048,0,0.12212751060724258,0,0,0,1019.7162129779283
0.15,1000,15.73386287689209,0.010158706456422806,0.12767008398243068,0.20455721020698547,0,0.15983569622039795,0,0,0,798.7582668307498
0.16,1000,15.733867645263672,0.010967682115733624,0.12769686357228863,0.2045612931251526,0,0.1725640594959259,0,0,0,739.9968691587887
