time,P,Q,R,Phi,Theta,Psi,U,V,W,X,Y,Z,RPM1,RPM2,RPM3,RPM4,RPM5,RPM6,THR1,THR2,THR3,TJR4,THR5,THR6,Phi_cmd,Theta_cmd,Psi_cmd,Alt_cmd,X_cmd,Y_cmd,Ax,Ay,Az,Fault_M1,Fault_M2,Fault_M3,Fault_M4,Fault_M5,Fault_M6
0,0.0011274107,0.0011274107,0.0011274107,0,0,0,0,0,0,0,0,0,5530.4268,5530.1179,5530.0997,5529.8998,5530.2087,5530.2269,56.515273,56.51144,56.511214,56.508734,56.512567,56.512793,0,0,0,3,0,0,0.0011274107,0.0011274107,9.8111274,0,0,0,0,0,0
0.01,0.0075433274,0.0075438572,0.0075470835,-9.9994316e-09,-8.6597619e-09,-5.0934707e-10,-5.3243076e-10,6.1479808e-10,-0.04235268,1.4515191e-12,-1.6760699e-12,0,5547.8819,5545.8149,5545.6936,5544.3559,5546.4229,5546.5443,56.731882,56.706231,56.704725,56.688125,56.713776,56.715282,6.3441799e-09,5.494221e-09,0,3,0,0,0.0075474621,0.007547081,5.5822793,0.625,0.625,0.625,0.625,0.625,0.625
0.02,-0.002771472,-0.0027634411,-0.002714491,-2.4522952e-07,-2.1239903e-07,-1.2496937e-08,-1.3795348e-08,1.5927954e-08,-0.0181192,-1.6544715e-11,1.9102543e-11,0,5561.4298,5562.1847,5562.2332,5562.7193,5561.9644,5561.9159,56.900003,56.90937,56.909973,56.916004,56.906636,56.906034,1.5823461e-07,1.3704898e-07,0,3,0,0,-0.0027097298,-0.0027133918,12.230637,0.859375,0.859375,0.859375,0.859375,0.859375,0.859375
0.03,0.003917397,0.003936986,0.00405703,-1.3135846e-06,-1.1381728e-06,-6.704341e-08,-6.2543262e-08,7.2207853e-08,0.040244466,-4.6957202e-10,5.421018e-10,0.00011699645,5569.5338,5568.4499,5568.3964,5567.689,5568.7729,5568.8265,57.000569,56.987118,56.986454,56.977675,56.991127,56.991791,5.8607898e-07,5.0764324e-07,0,3,0,0,0.0040657119,0.0040632192,15.650431,0.94726563,0.94726563,0.94726563,0.94726563,0.94726563,0.94726563
0.04,0.00038008376,0.00041179185,0.0006080682,-3.2055374e-06,-2.7794624e-06,-1.6406434e-07,-1.1502293e-07,1.3289685e-07,0.1184769,-2.9637825e-09,3.4205542e-09,0.0008965367,5531.2427,5531.1215,5531.1312,5531.0429,5531.1642,5531.1544,56.525398,56.523894,56.524014,56.522919,56.524424,56.524303,6.5051156e-07,5.625524e-07,0,3,0,0,0.00061772536,0.00062352247,17.633864,0.98022461,0.98022461,0.98022461,0.98022461,0.98022461,0.98022461
0.05,-0.0015837979,-0.001537209,-0.0012451059,-6.1980559e-06,-5.3794275e-06,-3.1843553e-07,-7.4967581e-08,8.7507479e-08,0.20974455,-1.0752813e-08,1.2404678e-08,0.0025283398,5477.5606,5477.9691,5478.0182,5478.268,5477.8595,5477.8104,55.859235,55.864304,55.864914,55.868014,55.862944,55.862335,-4.2192184e-07,-3.7312294e-07,0,3,0,0,-0.0012349838,-0.0012170414,18.935538,0.99258423,0.99258423,0.99258423,0.99258423,0.99258423,0.99258423
0.06,-0.0033602625,-0.003302374,-0.0029322918,-1.0273508e-05,-8.9277351e-06,-5.3041992e-07,1.5736787e-07,-1.7726067e-07,0.31033948,-2.9198285e-08,3.3665274e-08,0.0051221444,5414.4574,5415.3461,5415.4302,5415.9869,5415.0982,5415.0141,55.076161,55.087189,55.088233,55.095142,55.084114,55.08307,-2.693632e-06,-2.3643688e-06,0,3,0,0,-0.0029200409,-0.0028957899,19.866585,0.99721909,0.99721909,0.99721909,0.99721909,0.99721909,0.99721909
0.07,-5.9106938e-05,2.5604502e-06,0.00040950299,-1.5058838e-05,-1.3107654e-05,-7.8253442e-07,6.032977e-07,-6.8227487e-07,0.41788055,-6.5861513e-08,7.5886802e-08,0.008758441,5345.344,5345.3257,5345.3598,5345.328,5345.3463,5345.3122,54.218505,54.218278,54.218701,54.218306,54.218533,54.21811,-5.2441862e-06,-4.6312779e-06,0,3,0,0,0.00042794228,0.00044439702,20.564542,0.99895716,0.99895716,0.99895716,0.99895716,0.99895716,0.99895716
0.08,0.001319298,0.001379702,0.0017974054,-2.0063749e-05,-1.7501384e-05,-1.051485e-06,1.1861494e-06,-1.3331496e-06,0.53057026,-1.2990566e-07,1.4956039e-07,0.013497306,5270.1646,5269.7689,5269.7821,5269.5058,5269.9014,5269.8882,53.285572,53.280663,53.280827,53.277397,53.282307,53.282143,-6.8874957e-06,-6.1665146e-06,0,3,0,0,0.0018186687,0.001831257,21.080796,0.99960893,0.99960893,0.99960893,0.99960893,0.99960893,0.99960893
0.09,0.00027203167,0.0003317745,0.00076795067,-2.5201178e-05,-2.2039874e-05,-1.3344707e-06,1.9212153e-06,-2.1398403e-06,0.64690159,-2.3123255e-07,2.6596912e-07,0.01938248,5190.0695,5189.9605,5189.9925,5189.9009,5190.01,5189.9779,52.29164,52.290287,52.290685,52.289548,52.290901,52.290503,-8.6665465e-06,-7.8914536e-06,0,3,0,0,0.00078585501,0.0008091413,21.44393,0.99985335,0.99985335,0.99985335,0.99985335,0.99985335,0.99985335
