time,P,Q,R,Phi,Theta,Psi,U,V,W,X,Y,Z,RPM1,RPM2,RPM3,RPM4,RPM5,RPM6,THR1,THR2,THR3,TJR4,THR5,THR6,Phi_cmd,Theta_cmd,Psi_cmd,Alt_cmd,X_cmd,Y_cmd,Ax,Ay,Az,Fault_M1,Fault_M2,Fault_M3,Fault_M4,Fault_M5,Fault_M6
0,0.0011274107,0.0011274107,0.0011274107,0,0,0,0,0,0,0,0,0,5530.4268,5530.1179,5530.0997,5529.8998,5530.2087,5530.2269,56.515273,56.51144,56.511214,56.508734,56.512567,56.512793,0,0,0,3,0,0,0.0011274107,0.0011274107,9.8111274,0,0,0,0,0,0
0.01,0.0075433274,0.0075654831,0.0075470835,-9.9994316e-09,1.9234867e-08,-5.0934764e-10,1.1846952e-09,6.1479808e-10,-0.04235268,1.4515191e-12,-1.6760699e-12,0,5545.8154,5543.7484,5545.6936,5546.4224,5548.4895,5546.5443,56.706237,56.680586,56.704725,56.71377,56.739421,56.715282,6.3376602e-09,0.012799988,0,3,0.04,0,0.0075464443,0.007547081,5.5822793,0.625,0.625,0.625,0.625,0.625,0.625
0.02,-0.002771472,-0.0024993394,-0.002714491,-2.4522956e-07,9.1939612e-07,-1.2497114e-08,5.8823357e-08,1.5927956e-08,-0.018119199,9.2061318e-11,1.9102542e-11,0,5557.3071,5558.062,5562.2332,5566.842,5566.0871,5561.9159,56.848842,56.858209,56.909973,56.967165,56.957797,56.906034,1.5791471e-07,0.025599405,0,3,0.08,0,-0.0027185279,-0.0027133918,12.230637,0.859375,0.859375,0.859375,0.859375,0.859375,0.859375
0.03,0.0039173969,0.0049583294,0.00405703,-1.3135853e-06,5.8613604e-06,-6.7048471e-08,2.5955071e-07,7.2207882e-08,0.040244469,2.0582616e-09,5.4210186e-10,0.00011699646,5563.3942,5562.3103,5568.3964,5573.8286,5574.9125,5568.8265,56.92438,56.910929,56.986454,57.053864,57.067315,56.991791,5.835046e-07,0.038397909,0,3,0.12,0,0.0040630975,0.0040632192,15.650431,0.94726563,0.94726563,0.94726563,0.94726563,0.94726563,0.94726563
0.04,0.00038008351,0.0029656379,0.0006080682,-3.2055409e-06,2.1346467e-05,-1.6410938e-07,1.7306924e-07,1.3289695e-07,0.11847691,1.5616631e-08,3.4205547e-09,0.00089653678,5523.151,5523.0297,5531.1312,5539.1346,5539.2559,5531.1544,56.424985,56.42348,56.524014,56.623333,56.624837,56.524303,6.4210991e-07,0.051200804,0,3,0.16,0,0.00068022161,0.00062352247,17.633865,0.98022461,0.98022461,0.98022461,0.98022461,0.98022461,0.98022461
0.05,-0.0015837985,0.0035379584,-0.0012451059,-6.1980702e-06,5.5987132e-05,-3.1865857e-07,-2.069465e-06,8.7507443e-08,0.20974459,7.1746669e-08,1.2404678e-08,0.0025283401,5467.6009,5468.0094,5478.0182,5488.2277,5487.8191,5477.8104,55.735641,55.740711,55.864914,55.991607,55.986537,55.862334,-4.4231737e-07,0.064023065,0,3,0.2,0,-0.0010007598,-0.0012170414,18.935541,0.99258423,0.99258423,0.99258423,0.99258423,0.99258423,0.99258423
0.06,-0.0033602635,0.0054562781,-0.0029322919,-1.0273551e-05,0.00012057826,-5.3121154e-07,-1.0760336e-05,-1.7726186e-07,0.31033958,2.4225184e-07,3.3665263e-08,0.0051221454,5402.7284,5403.617,5415.4301,5427.7158,5426.8271,5415.0141,54.930611,54.941639,55.088232,55.24069,55.229663,55.08307,-2.7344409e-06,0.076890274,0,3,0.24,0,-0.002364659,-0.0028957898,19.86659,0.99721909,0.99721909,0.99721909,0.99721909,0.99721909,0.99721909
0.07,-5.9107912e-05,0.013743431,0.00040950292,-1.5058938e-05,0.00022776971,-7.8475283e-07,-3.3500384e-05,-6.8227926e-07,0.41788075,6.6489467e-07,7.5886728e-08,0.0087584434,5331.9538,5331.9355,5345.3597,5358.7179,5358.7363,5345.3121,54.052341,54.052113,54.218699,54.384468,54.384695,54.218109,-5.3145333e-06,0.089837908,0,3,0.28,0,0.0014883829,0.00044439713,20.564553,0.99895716,0.99895716,0.99895716,0.99895716,0.99895716,0.99895716
0.08,0.0013192972,0.021502161,0.0017974053,-2.0063944e-05,0.00039149838,-1.0566821e-06,-8.1834293e-05,-1.3331604e-06,0.53057062,1.5730647e-06,1.4956007e-07,0.013497311,5255.2264,5254.8307,5269.7819,5284.4435,5284.8392,5269.888,53.100199,53.095288,53.280824,53.462766,53.467676,53.28214,-6.9957672e-06,0.10290902,0,3,0.32,0,0.0035910903,0.0018312574,21.080813,0.99960893,0.99960893,0.99960893,0.99960893,0.99960893,0.99960893
0.09,0.00027203002,0.028300785,0.00076795038,-2.5201535e-05,0.00062618278,-1.3451141e-06,-0.0001714324,-2.1398692e-06,0.64690218,3.327833e-06,2.6596807e-07,0.01938249,5173.6976,5173.5885,5189.9921,5206.2721,5206.3812,5189.9776,52.088474,52.08712,52.29068,52.492705,52.494058,52.290499,-8.821692e-06,0.11614977,0,3,0.36,0,0.0034866878,0.00080914251,21.443956,0.99985335,0.99985335,0.99985335,0.99985335,0.99985335,0.99985335
0.1,0.0010614511,0.038434449,0.0015845329,-3.060203e-05,0.00094654277,-1.659406e-06,-0.00032218331,-3.2213037e-06,0.7655478,6.4496868e-06,4.3680174e-07,0.026443616,5089.4588,5089.132,5106.8473,5124.3073,5124.6341,5106.9188,51.04312,51.039065,51.258901,51.47557,51.479625,51.259789,-1.1917786e-05,0.12960854,0,3,0.4,0,0.0054416808,0.0016327448,21.676185,0.99994501,0.99994501,0.99994501,0.99994501,0.99994501,0.99994501
0.11,0.00097924704,0.049197212,0.0015358412,-3.6322434e-05,0.0013675359,-2.0054439e-06,-0.00055813462,-4.6667728e-06,0.88531937,1.1648259e-05,6.7422966e-07,0.034697774,5002.8543,5002.5479,5021.4829,5040.1705,5040.4769,5021.5419,49.968409,49.964608,50.199579,50.431481,50.435283,50.200312,-1.6014664e-05,0.14333439,0,3,0.44,0,0.0067247058,0.001593248,21.788745,0.99997938,0.99997938,0.99997938,0.99997938,0.99997938,0.99997938
0.12,-0.0010776942,0.059463584,-0.00047677999,-4.2468135e-05,0.0019039734,-2.3919122e-06,-0.00090699221,-6.6200045e-06,1.0051548,1.984889e-05,9.9090828e-07,0.044150804,4914.5057,4914.7596,4934.8476,4955.0126,4954.7588,4934.6708,48.872055,48.875206,49.124486,49.374722,49.371572,49.122292,-2.1701011e-05,0.15737246,0,3,0.48,0,0.0062086372,-0.00040761469,21.793136,0.99999227,0.99999227,0.99999227,0.99999227,0.99999227,0.99999227
0.13,0.0032840313,0.077579985,0.0039214055,-4.9083006e-05,0.0025703791,-2.8247898e-06,-0.0013995765,-9.1794557e-06,1.1241127,3.2214673e-05,1.4000527e-06,0.054798536,4827.1602,4826.216,4847.2626,4867.6774,4868.6216,4847.575,47.788149,47.776432,48.037608,48.290944,48.30266,48.041485,-2.8553937e-05,0.1717634,0,3,0.52,0,0.012242938,0.0039893773,21.709825,0.9999971,0.9999971,0.9999971,0.9999971,0.9999971,0.9999971
0.14,-0.0023669096,0.08705678,-0.0016809022,-5.6099573e-05,0.0033808424,-3.3047631e-06,-0.0020691068,-1.2328913e-05,1.2413694,5.0163313e-05,1.915383e-06,0.066627975,4737.6762,4738.2765,4760.3627,4782.7201,4782.1198,4760.0336,46.677705,46.685155,46.959231,47.236674,47.229225,46.955148,-3.5419062e-05,0.18654137,0,3,0.56,0,0.0083451822,-0.0015912637,21.534165,0.99999891,0.99999891,0.99999891,0.99999891,0.99999891,0.99999891
0.15,-0.0074964088,0.098352572,-0.0067630493,-6.3721793e-05,0.0043485405,-3.8468365e-06,-0.0029499734,-1.6361107e-05,1.3562149,7.5378407e-05,2.5509427e-06,0.079618466,4649.1267,4651.1278,4674.1728,4698.3082,4696.307,4673.262,45.578858,45.603691,45.889666,46.189171,46.164338,45.878363,-4.5479697e-05,0.20172854,0,3,0.6,0,0.0050326796,-0.006677997,21.288055,0.99999959,0.99999959,0.99999959,0.99999959,0.99999959,0.99999959
0.16,-0.005637465,0.11784054,-0.0049409938,-7.1481305e-05,0.005486451,-4.4321928e-06,-0.0040778811,-2.068081e-05,1.4680478,0.00010981476,3.3212182e-06,0.093742801,4563.5433,4565.0394,4588.8625,4613.4824,4611.9863,4588.1632,44.516819,44.535384,44.831015,45.136533,45.117968,44.822337,-4.9659655e-05,0.21734886,0,3,0.64,0,0.0086720525,-0.0049274811,20.988749,0.99999985,0.99999985,0.99999985,0.99999985,0.99999985,0.99999985
0.17,0.0051223494,0.14734439,0.00568588,-7.8326398e-05,0.0068072085,-5.0115324e-06,-0.0054890428,-2.3728193e-05,1.5763689,0.00015569932,4.2400729e-06,0.10896827,4481.818,4480.3828,4504.781,4528.2633,4529.6985,4505.3003,43.502656,43.484846,43.787613,44.079014,44.096824,43.794057,-3.7800286e-05,0.23341829,0,3,0.68,0,0.021071569,0.0056176049,20.648396,0.99999994,0.99999994,0.99999994,0.99999994,0.99999994,0.99999994
0.18,-0.001845006,0.16016259,-0.0013996244,-8.3718151e-05,0.0083221201,-5.5597901e-06,-0.0072180137,-2.4538053e-05,1.6807743,0.00021552822,5.3187338e-06,0.12525768,4398.1097,4398.602,4423.8147,4449.2535,4448.7612,4423.5485,42.463885,42.469995,42.782869,43.09855,43.09244,42.779565,-1.552937e-05,0.2499305,0,3,0.72,0,0.015586073,-0.0014435563,20.250011,0.99999998,0.99999998,0.99999998,0.99999998,0.99999998,0.99999998
0.19,-0.0034393079,0.17930956,-0.0030740662,-8.8190709e-05,0.010040672,-6.1054626e-06,-0.0092960136,-2.3830458e-05,1.7809474,0.00029205869,6.5649097e-06,0.1425702,4318.1281,4319.0703,4344.9697,4371.365,4370.4228,4344.5235,41.47136,41.483053,41.804448,42.131999,42.120307,41.798911,6.6692808e-08,0.26686126,0,3,0.76,0,0.015414144,-0.0031103765,19.825467,0.99999999,0.99999999,0.99999999,0.99999999,0.99999999,0.99999999
0.2,-0.0029408211,0.20140804,-0.0026863919,-9.169663e-05,0.01197197,-6.6470804e-06,-0.011752558,-2.1395121e-05,1.8766503,0.00038829631,7.9836898e-06,0.16086228,4241.3422,4242.1641,4268.6762,4295.622,4294.8001,4268.288,40.518493,40.528692,40.857692,41.192073,41.181874,40.852874,1.836088e-05,0.28420201,0,3,0.8,0,0.0172005,-0.0027649105,19.379336,1,1,1,1,1,1
0.21,-0.0024983913,0.22422462,-0.0023888387,-9.3864609e-05,0.014124542,-7.1653261e-06,-0.014614641,-1.6429812e-05,1.9677162,0.00050748063,9.5776892e-06,0.18008834,4167.4334,4168.1554,4195.245,4222.7203,4221.9983,4194.9087,39.601327,39.610287,39.946453,40.287406,40.278446,39.94228,4.5535542e-05,0.30193513,0,3,0.84,0,0.018728797,-0.0025116611,18.916561,1,1,1,1,1,1
0.22,-0.0014908926,0.24830207,-0.0015486971,-9.4398263e-05,0.016506032,-7.6427675e-06,-0.017905728,-8.2326118e-06,2.0540405,0.0006530698,1.1346594e-05,0.20020145,4096.682,4097.1534,4124.7778,4152.6527,4152.1813,4124.5569,38.723345,38.729194,39.071997,39.417908,39.412059,39.069255,8.0817867e-05,0.32003172,0,3,0.88,0,0.020606605,-0.0017071984,18.444044,1,1,1,1,1,1
0.23,-0.0013338302,0.27215129,-0.0015680922,-9.3124156e-05,0.019123199,-8.0661886e-06,-0.021645338,3.6732664e-06,2.1355733,0.00082872448,1.3286857e-05,0.22115391,4028.8486,4029.3043,4057.4455,4085.8403,4085.3845,4057.2433,37.881571,37.887228,38.236443,38.588805,38.583149,38.233933,0.00012211347,0.33845742,0,3,0.92,0,0.021415788,-0.0017474211,17.965859,1,1,1,1,1,1
0.24,-0.00027120657,0.29745469,-0.00068209478,-9.0004392e-05,0.021981952,-8.4273555e-06,-0.02584879,1.9477949e-05,2.2123117,0.0010382915,1.5391677e-05,0.24289779,3965.703,3965.8957,3993.1997,4020.6144,4020.4218,3993.1178,37.097972,37.100363,37.43919,37.779391,37.777,37.438173,0.00016661903,0.34906585,0,3,0.96,0,0.022911481,-0.00087423148,17.488493,1,1,1,1,1,1
0.25,0.0052963714,0.32755426,0.004716732,-8.5066658e-05,0.025086765,-8.7196053e-06,-0.030525615,3.9206252e-05,2.2842924,0.0012857876,1.7651209e-05,0.26538532,3908.5423,3907.2369,3931.8534,3955.7107,3957.0161,3932.3995,36.388641,36.372442,36.677919,36.973973,36.990172,36.684696,0.00021269073,0.34906585,0,3,1,0,0.028416487,0.0045252656,17.019555,1,1,1,1,1,1
0.26,0.0009358581,0.34760064,0.00023957579,-7.8573002e-05,0.028438147,-8.9466562e-06,-0.03567356,6.2317009e-05,2.3515859,0.0015753836,2.0052934e-05,0.28856929,3852.2352,3852.1459,3874.2088,3896.2339,3896.3232,3874.2604,35.689904,35.688796,35.962583,36.235902,36.23701,35.963223,0.00025449302,0.34906585,0,3,1.04,0,0.023363237,0.00011929861,16.548006,1,1,1,1,1,1
0.27,0.0048167963,0.37540083,0.0040542817,-7.1189098e-05,0.032032333,-9.1329084e-06,-0.04127728,8.7283616e-05,2.4142902,0.0019113832,2.2582393e-05,0.31240333,3800.9565,3799.8162,3819.2015,3837.9343,3839.0745,3819.6893,35.053565,35.039414,35.279974,35.512437,35.526588,35.286028,0.00028167245,0.34906585,0,3,1.08,0,0.026050678,0.0039789437,16.094777,1,1,1,1,1,1
0.28,0.0032335341,0.39694691,0.0024449691,-6.3284163e-05,0.035862502,-9.2887582e-06,-0.047310818,0.00011321474,2.4725261,0.0022982006,2.522432e-05,0.33684217,3751.4134,3750.7131,3767.5472,3783.9882,3784.6885,3767.8544,34.438764,34.430074,34.638975,34.842999,34.851689,34.642788,0.00030028951,0.34906585,0,3,1.12,0,0.022786839,0.0024318982,15.64838,1,1,1,1,1,1
0.29,0.0018366688,0.41764626,0.0010702687,-5.5392184e-05,0.039918971,-9.4344231e-06,-0.05373797,0.00013877599,2.526432,0.0027403361,2.7963432e-05,0.36184182,3704.8282,3704.5086,3718.8524,3733.0247,3733.3442,3719.0005,33.86067,33.856704,34.034702,34.210571,34.214537,34.036539,0.0003054753,0.34906585,0,3,1.16,0,0.019317873,0.0011168162,15.216223,1,1,1,1,1,1
0.3,-0.0011256612,0.43555015,-0.0018483933,-4.7872844e-05,0.044190022,-9.5834939e-06,-0.06051443,0.00016303774,2.5761602,0.0032423516,3.0785196e-05,0.38735976,3660.6817,3661.167,3673.128,3685.3879,3684.9026,3672.9416,33.312837,33.318859,33.467289,33.619427,33.613405,33.464976,0.00030097071,0.34906585,0,3,1.2,0,0.013960281,-0.0017740221,14.797862,1,1,1,1,1,1
0.31,-0.00076130735,0.45539909,-0.0014500959,-4.0801137e-05,0.04866249,-9.7367019e-06,-0.067589512,0.00018578137,2.6218734,0.0038088476,3.3676332e-05,0.41335502,3620.0004,3620.3792,3630.0004,3639.8563,3639.4775,3629.8563,32.808007,32.812707,32.9321,33.054406,33.049706,32.930313,0.00029381108,0.34906585,0,3,1.24,0,0.011657476,-0.0013945881,14.399123,1,1,1,1,1,1
0.32,-6.1648969e-05,0.47409292,-0.00074053127,-3.3955453e-05,0.053322197,-9.8800371e-06,-0.074907643,0.00020755766,2.663741,0.0044444431,3.6624831e-05,0.43978828,3581.9662,3582.1502,3589.5341,3597.0383,3596.8543,3589.4704,32.336024,32.338308,32.429938,32.523061,32.520777,32.429148,0.00029186854,0.34906585,0,3,1.28,0,0.0094415181,-0.00071436097,14.017652,1,1,1,1,1,1
0.33,-0.0032983943,0.48728988,-0.0039809581,-2.7133668e-05,0.058154063,-9.9999728e-06,-0.082409039,0.00022887378,2.7019376,0.0051537566,3.9619615e-05,0.46662189,3545.4621,3546.5325,3551.8604,3557.8309,3556.7604,3551.4326,31.88303,31.896314,31.962429,32.03652,32.023236,31.95712,0.00029487162,0.34906585,0,3,1.32,0,0.0030975814,-0.003970051,13.649575,1,1,1,1,1,1
0.34,0.007504978,0.51292341,0.0067911852,-2.0161258e-05,0.063142425,-1.0084e-05,-0.090030991,0.00025017169,2.7366397,0.0059413906,4.2650213e-05,0.49381995,3514.5688,3512.6826,3515.8515,3517.9268,3519.8131,3516.6442,31.499663,31.476256,31.515579,31.541334,31.564741,31.525417,0.0003023127,0.34906585,0,3,1.36,0,0.01068951,0.0067532961,13.313013,1,1,1,1,1,1
0.35,0.0038509349,0.52248806,0.0031301259,-1.2864894e-05,0.068271338,-1.0118815e-05,-0.097709104,0.00027188407,2.7680244,0.0068119185,4.5706451e-05,0.52134827,3482.511,3481.6285,3483.002,3483.8721,3484.7545,3483.381,31.101844,31.090893,31.107937,31.118734,31.129685,31.112641,0.00031424159,0.34906585,0,3,1.4,0,0.0037010372,0.0031618222,12.97949,1,1,1,1,1,1
0.36,-0.001475363,0.52878038,-0.0021415119,-5.8683122e-06,0.073524131,-1.0133148e-05,-0.10537648,0.0002922683,2.7962557,0.0077698718,4.8778371e-05,0.54917436,3443.6137,3444.1826,3443.9228,3444.0092,3443.4403,3443.7001,30.619151,30.626211,30.622987,30.624059,30.616999,30.620223,0.00030833309,0.34906585,0,3,1.44,0,-0.0049050163,-0.0020304773,12.660426,1,1,1,1,1,1
0.37,-0.0024793856,0.5378085,-0.0030917275,4.9830584e-07,0.07888453,-1.0144315e-05,-0.11296703,0.0003104123,2.8214453,0.0088197011,5.185681e-05,0.57726701,3403.3363,3404.1694,3402.3379,3401.0058,3400.1728,3402.0042,30.119333,30.129671,30.106943,30.090413,30.080075,30.102803,0.00029259037,0.34906585,0,3,1.48,0,-0.0090826739,-0.0029963532,12.356472,1,1,1,1,1,1
0.38,0.00011446384,0.5488804,-0.0004810742,6.4892231e-06,0.084337066,-1.0140641e-05,-0.12041675,0.00032703735,2.843677,0.009965738,5.4933734e-05,0.60559595,3366.0105,3366.1272,3362.7938,3359.539,3359.4223,3362.7557,29.656142,29.65759,29.616224,29.575834,29.574386,29.615752,0.00028358115,0.34906585,0,3,1.52,0,-0.0096153016,-0.0004416074,12.063979,1,1,1,1,1,1
0.39,0.0029843667,0.55872735,0.0023839933,1.2452411e-05,0.089866795,-1.0104264e-05,-0.12766316,0.00034311779,2.8630405,0.011212168,5.8001931e-05,0.63413167,3330.8234,3330.1529,3325.4392,3320.3423,3321.0127,3325.7265,29.21949,29.21117,29.152675,29.089425,29.097746,29.156241,0.000284155,0.34906585,0,3,1.56,0,-0.0098339311,0.0024004392,11.780167,1,1,1,1,1,1
0.4,-0.00026217584,0.56102338,-0.00085443493,1.8432223e-05,0.095459076,-1.0031881e-05,-0.13464509,0.00035875897,2.8796353,0.012563028,6.1054602e-05,0.66284553,3296.2389,3296.4563,3290.5856,3284.8536,3284.6362,3290.5069,28.790317,28.793015,28.720162,28.649032,28.646334,28.719187,0.00028565616,0.34906585,0,3,1.6,0,-0.016078745,-0.00080891863,11.499622,1,1,1,1,1,1
0.41,-0.0034980719,0.56196469,-0.0040739517,2.4251783e-05,0.10109974,-9.9322712e-06,-0.14130337,0.00037344271,2.893569,0.014022205,6.4085284e-05,0.69170985,3263.6378,3264.7378,3257.8298,3251.5794,3250.4794,3257.3875,28.385756,28.399406,28.313682,28.236119,28.222469,28.308193,0.00028167843,0.34906585,0,3,1.64,0,-0.022135253,-0.004025351,11.229184,1,1,1,1,1,1
0.42,-0.0022994029,0.56604551,-0.0028879526,3.0027389e-05,0.10677559,-9.7999002e-06,-0.14758268,0.00038749903,2.9049545,0.015593438,6.7087955e-05,0.72069798,3233.9936,3234.7644,3226.8599,3219.4219,3218.651,3226.5555,28.017889,28.027455,27.929365,27.837063,27.827497,27.925588,0.00028081148,0.34906585,0,3,1.68,0,-0.02357477,-0.0028926222,10.973761,1,1,1,1,1,1
0.43,0.00054901056,0.57055949,-8.7613386e-05,3.614876e-05,0.11247444,-9.6139125e-06,-0.15343173,0.00040202827,2.9139088,0.017280325,7.0056891e-05,0.74978432,3206.5931,3206.5892,3197.7676,3188.9612,3188.965,3197.7866,27.677865,27.677817,27.568346,27.459063,27.459112,27.568582,0.00029112139,0.34906585,0,3,1.72,0,-0.023226387,-0.00014204955,10.730916,1,1,1,1,1,1
0.44,0.0043734837,0.57491816,0.0036808698,4.2859619e-05,0.11818481,-9.3589953e-06,-0.15880255,0.000417681,2.9205513,0.019086322,7.2986282e-05,0.77894439,3181.2174,3180.1741,3170.5215,3160.2768,3161.3202,3170.9727,27.362968,27.35002,27.230238,27.103107,27.116055,27.235837,0.00030832698,0.34906585,0,3,1.76,0,-0.021760796,0.003623061,10.50021,1,1,1,1,1,1
0.45,0.00056886055,0.57060356,-0.00015044993,5.0052656e-05,0.12389569,-9.0373548e-06,-0.16365011,0.00043407965,2.9250024,0.021014757,7.5869992e-05,0.80815479,3155.7939,3155.7976,3145.5353,3135.2983,3135.2945,3145.5568,27.047477,27.047523,26.920174,26.793138,26.793092,26.920441,0.00032202561,0.34906585,0,3,1.8,0,-0.027747816,-0.00015199734,10.273166,1,1,1,1,1,1
0.46,0.0036446475,0.57220592,0.0029228401,5.7368556e-05,0.12959671,-8.6657399e-06,-0.16793271,0.00045013506,2.9273827,0.023068834,7.8701693e-05,0.83739327,3133.6474,3132.8076,3121.9163,3110.5548,3111.3946,3122.286,26.772652,26.762231,26.627076,26.486087,26.496508,26.631664,0.00032474342,0.34906585,0,3,1.84,0,-0.026603237,0.0029470221,10.064279,1,1,1,1,1,1
0.47,-0.00093956349,0.56526398,-0.0016462748,6.4657137e-05,0.13527847,-8.2519011e-06,-0.17161316,0.00046539091,2.9278116,0.025251643,8.1475147e-05,0.86663867,3111.3116,3111.724,3100.4121,3089.3665,3088.954,3100.266,26.495478,26.500596,26.360222,26.223152,26.218034,26.358408,0.00032265799,0.34906585,0,3,1.88,0,-0.032910784,-0.0015857296,9.8589025,1,1,1,1,1,1
0.48,0.00060661188,0.56364449,-7.8551171e-05,7.1716479e-05,0.14093232,-7.8074483e-06,-0.17465808,0.00047925859,2.926407,0.027566166,8.4184408e-05,0.89587092,3091.9419,3091.9244,3080.1712,3068.4316,3068.4491,3080.2023,26.255112,26.254894,26.109044,25.963362,25.963579,26.10943,0.00031425059,0.34906585,0,3,1.92,0,-0.032851887,-2.1375436e-05,9.67065,1,1,1,1,1,1
